Name,University Name,Age,course,How frequently do you use AI?,Which Generative AI tool do you use?,Should curriculum be modified keeping AI in mind?
Aarohi Bose,Univ. Of Delhi,23,arts,Often (At least once a week),Bing AI,No
Aadhya Naidu,Univ. Of Delhi,23,science,Sometimes (At least once a month),Elicit,No
Aditya Mishra,Jadavpur Univ.,25,science,Often (At least once a week),DALL-E,Yes
Lakshmi Pandey,Anna Univ.,18,arts,Rarely (A few times a semester at most),Midjourney,Yes
Sai Patel,VIT(Vellore),23,science,Rarely (A few times a semester at most),Elicit,No
Shanaya Joshi,Manipal Univ.,19,science,Sometimes (At least once a month),DALL-E,Yes
Aadhya Joshi,IIsc,22,science,Rarely (A few times a semester at most),Grammarly,No
Vivaan Nair,Univ. Of Delhi,21,others,Sometimes (At least once a month),DALL-E,Yes
Diya Desai,IIsc,22,arts,Sometimes (At least once a month),Grammarly,No
Krishna Sharma,Anna Univ.,23,science,Rarely (A few times a semester at most),Elicit,Yes
Saanvi Kumar,Anna Univ.,20,science,Never,DALL-E,Yes
Ananya Joshi,Univ. Of Delhi,20,science,Sometimes (At least once a month),Midjourney,Yes
Diya Naidu,Univ. Of Delhi,24,commerce,Never,Elicit,Yes
Ananya Bose,Jadavpur Univ.,22,others,Never,Bing AI,No
Saanvi Joshi,Anna Univ.,18,others,Rarely (A few times a semester at most),Midjourney,Yes
Ananya Naidu,Univ. Of Delhi,20,arts,Never,Midjourney,Yes
Aarohi Singh,Univ. Of Delhi,21,commerce,Sometimes (At least once a month),Midjourney,No
Ayaan Kumar,Jadavpur Univ.,21,science,Never,Bing AI,No
Diya Gupta,Anna Univ.,22,science,Never,Bing AI,Yes
Arjun Pandey,IIsc,21,others,Rarely (A few times a semester at most),Grammarly,Yes
Aditya Bose,Univ. Of Delhi,18,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Ishaan Sharma,IIsc,20,commerce,Sometimes (At least once a month),DALL-E,No
Aarav Kumar,Anna Univ.,19,arts,Sometimes (At least once a month),DALL-E,No
Ira Gupta,Anna Univ.,20,others,Never,Elicit,Yes
Vihaan Rao,Univ. Of Delhi,25,commerce,Rarely (A few times a semester at most),Midjourney,No
Vivaan Mishra,Univ. Of Delhi,23,arts,Sometimes (At least once a month),Midjourney,Yes
Ira Sharma,Jadavpur Univ.,20,others,Rarely (A few times a semester at most),Elicit,No
Diya Pandey,Anna Univ.,19,others,Rarely (A few times a semester at most),Bing AI,Yes
Sai Bose,VIT(Vellore),25,commerce,Never,Others,Yes
Krishna Iyer,Manipal Univ.,21,arts,Never,Research Rabbit,No
Ayaan Joshi,IIsc,20,others,Sometimes (At least once a month),Grammarly,No
Aarohi Joshi,Univ. Of Delhi,25,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Arjun Chopra,IIsc,20,science,Often (At least once a week),Research Rabbit,Yes
Reyansh Joshi,Anna Univ.,25,science,Rarely (A few times a semester at most),Midjourney,Yes
Aditya Mehta,Anna Univ.,25,arts,Rarely (A few times a semester at most),Bing AI,No
Krishna Singh,Univ. Of Delhi,20,science,Never,Bing AI,No
Pihu Das,Univ. Of Delhi,19,science,Often (At least once a week),Midjourney,Yes
Lakshmi Kumar,Jadavpur Univ.,18,science,Often (At least once a week),DALL-E,No
Pihu Mehta,Anna Univ.,23,others,Sometimes (At least once a month),Research Rabbit,Yes
Ira Gupta,Univ. Of Delhi,24,arts,Never,ChatGPT,Yes
Arjun Verma,Univ. Of Delhi,25,science,Often (At least once a week),DALL-E,No
Aarav Chopra,Jadavpur Univ.,18,science,Rarely (A few times a semester at most),Others,No
Vivaan Nair,Anna Univ.,19,science,Never,Midjourney,Yes
Arjun Mishra,IIsc,18,commerce,Sometimes (At least once a month),DALL-E,Yes
Arjun Singh,Univ. Of Delhi,19,others,Never,Grammarly,Yes
Ayaan Desai,IIsc,23,others,Rarely (A few times a semester at most),Bing AI,Yes
Arjun Desai,Anna Univ.,18,arts,Sometimes (At least once a month),Grammarly,Yes
Ananya Kumar,Anna Univ.,20,commerce,Often (At least once a week),Research Rabbit,No
Pihu Nair,Univ. Of Delhi,20,science,Sometimes (At least once a month),DALL-E,No
Ananya Das,Univ. Of Delhi,18,science,Sometimes (At least once a month),Elicit,Yes
Anika Sharma,Jadavpur Univ.,23,others,Sometimes (At least once a month),Midjourney,Yes
Reyansh Sharma,Anna Univ.,24,commerce,Often (At least once a week),Research Rabbit,No
Shanaya Singh,VIT(Vellore),18,commerce,Sometimes (At least once a month),Bing AI,No
Diya Chopra,Manipal Univ.,20,arts,Often (At least once a week),Others,No
Vivaan Desai,IIsc,20,others,Sometimes (At least once a month),Grammarly,No
Sai Pandey,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),ChatGPT,Yes
Shanaya Joshi,IIsc,20,arts,Sometimes (At least once a month),Research Rabbit,No
Ishaan Iyer,Anna Univ.,24,others,Sometimes (At least once a month),Others,No
Diya Gupta,Anna Univ.,19,arts,Sometimes (At least once a month),DALL-E,Yes
Aarohi Gupta,Univ. Of Delhi,25,science,Sometimes (At least once a month),Bing AI,No
Shanaya Nair,Univ. Of Delhi,20,science,Often (At least once a week),Others,No
Aditya Desai,Jadavpur Univ.,19,arts,Sometimes (At least once a month),Grammarly,No
Ayaan Reddy,Anna Univ.,19,science,Never,Bing AI,No
Aditya Desai,Univ. Of Delhi,25,science,Often (At least once a week),Midjourney,No
Ira Nair,Univ. Of Delhi,20,science,Often (At least once a week),Grammarly,Yes
Ira Reddy,Jadavpur Univ.,22,others,Rarely (A few times a semester at most),ChatGPT,Yes
Aditya Iyer,Anna Univ.,24,arts,Never,Others,No
Ananya Desai,IIsc,23,science,Sometimes (At least once a month),Elicit,No
Aarohi Bose,Univ. Of Delhi,22,science,Never,Grammarly,Yes
Ayaan Das,IIsc,21,science,Often (At least once a week),Others,Yes
Diya Gupta,IIsc,20,commerce,Often (At least once a week),Research Rabbit,Yes
Aditya Nair,Univ. Of Delhi,22,others,Never,Bing AI,No
Vivaan Joshi,IIsc,19,others,Often (At least once a week),Bing AI,Yes
Reyansh Verma,Anna Univ.,24,arts,Often (At least once a week),ChatGPT,No
Lakshmi Reddy,Anna Univ.,20,arts,Sometimes (At least once a month),Midjourney,No
Krishna Verma,Univ. Of Delhi,23,others,Often (At least once a week),ChatGPT,Yes
Shanaya Desai,Univ. Of Delhi,18,commerce,Often (At least once a week),Bing AI,Yes
Ishaan Chopra,IIsc,23,arts,Rarely (A few times a semester at most),Grammarly,No
Pihu Chopra,Anna Univ.,23,others,Never,Others,No
Diya Verma,Anna Univ.,22,arts,Often (At least once a week),Bing AI,No
Vihaan Mehta,Univ. Of Delhi,25,science,Sometimes (At least once a month),Others,Yes
Arjun Mishra,Univ. Of Delhi,23,science,Often (At least once a week),Midjourney,No
Pihu Joshi,Jadavpur Univ.,20,arts,Sometimes (At least once a month),Others,Yes
Pihu Desai,IIsc,24,science,Never,Elicit,No
Aditya Joshi,Univ. Of Delhi,22,science,Sometimes (At least once a month),Bing AI,No
Arjun Chopra,IIsc,24,science,Never,Others,Yes
Ananya Mishra,Anna Univ.,24,others,Never,DALL-E,Yes
Ishaan Joshi,Anna Univ.,19,arts,Rarely (A few times a semester at most),Midjourney,Yes
Ishaan Joshi,Univ. Of Delhi,22,science,Often (At least once a week),Grammarly,Yes
Ishaan Das,Univ. Of Delhi,18,science,Often (At least once a week),Research Rabbit,No
Arjun Gupta,Jadavpur Univ.,24,science,Often (At least once a week),Others,Yes
Ayaan Mishra,Anna Univ.,21,commerce,Often (At least once a week),DALL-E,No
Arjun Reddy,VIT(Vellore),18,others,Sometimes (At least once a month),ChatGPT,Yes
Ananya Kapoor,Manipal Univ.,18,others,Never,DALL-E,Yes
Aarohi Gupta,IIsc,24,arts,Rarely (A few times a semester at most),Research Rabbit,Yes
Reyansh Joshi,Univ. Of Delhi,24,commerce,Never,Others,Yes
Ayaan Das,IIsc,20,science,Sometimes (At least once a month),Elicit,No
Pihu Reddy,Anna Univ.,18,science,Sometimes (At least once a month),Others,Yes
Sai Joshi,Anna Univ.,18,others,Often (At least once a week),Midjourney,No
Vihaan Nair,Univ. Of Delhi,22,commerce,Never,Others,Yes
Arjun Sharma,Univ. Of Delhi,22,commerce,Never,Bing AI,Yes
Krishna Sharma,Jadavpur Univ.,23,arts,Often (At least once a week),Bing AI,Yes
Anika Rao,Anna Univ.,24,others,Rarely (A few times a semester at most),Elicit,Yes
Saanvi Bose,IIsc,24,commerce,Sometimes (At least once a month),Midjourney,No
Krishna Kumar,Univ. Of Delhi,23,arts,Sometimes (At least once a month),Bing AI,No
Vivaan Joshi,IIsc,19,others,Sometimes (At least once a month),Research Rabbit,No
Sai Gupta,Anna Univ.,25,arts,Rarely (A few times a semester at most),Bing AI,No
Ishaan Pandey,Anna Univ.,25,science,Often (At least once a week),Bing AI,No
Aarav Verma,Univ. Of Delhi,21,science,Sometimes (At least once a month),DALL-E,No
Aadhya Singh,Univ. Of Delhi,23,arts,Often (At least once a week),Elicit,No
Ira Naidu,Jadavpur Univ.,22,science,Rarely (A few times a semester at most),Others,No
Diya Mehta,Anna Univ.,21,science,Often (At least once a week),ChatGPT,No
Aarohi Sharma,VIT(Vellore),20,science,Rarely (A few times a semester at most),Elicit,No
Diya Pandey,Manipal Univ.,21,others,Never,DALL-E,No
Vihaan Rao,IIsc,22,arts,Never,Others,Yes
Ishaan Mishra,Univ. Of Delhi,19,science,Sometimes (At least once a month),Grammarly,Yes
Shanaya Mehta,IIsc,22,science,Often (At least once a week),Grammarly,No
Shanaya Bose,Anna Univ.,22,science,Often (At least once a week),Bing AI,Yes
Lakshmi Patel,Anna Univ.,24,commerce,Never,Midjourney,Yes
Anika Mehta,Univ. Of Delhi,23,others,Often (At least once a week),Midjourney,No
Ira Naidu,Univ. Of Delhi,23,others,Never,DALL-E,Yes
Ishaan Patel,Jadavpur Univ.,22,arts,Often (At least once a week),Midjourney,Yes
Sai Mehta,Anna Univ.,18,commerce,Often (At least once a week),DALL-E,No
Pihu Bose,IIsc,19,science,Rarely (A few times a semester at most),Bing AI,Yes
Krishna Reddy,Univ. Of Delhi,23,science,Rarely (A few times a semester at most),Others,No
Ayaan Pandey,IIsc,24,others,Rarely (A few times a semester at most),Midjourney,Yes
Aarav Kapoor,Anna Univ.,20,commerce,Often (At least once a week),Others,Yes
Saanvi Kumar,Anna Univ.,22,commerce,Rarely (A few times a semester at most),Research Rabbit,Yes
Aarav Das,Univ. Of Delhi,25,arts,Rarely (A few times a semester at most),Research Rabbit,No
Ananya Mishra,Univ. Of Delhi,21,others,Never,Others,No
Aditya Kumar,Jadavpur Univ.,20,commerce,Sometimes (At least once a month),Research Rabbit,No
Aarohi Kumar,Anna Univ.,21,arts,Sometimes (At least once a month),Bing AI,No
Sai Naidu,VIT(Vellore),24,others,Rarely (A few times a semester at most),Midjourney,Yes
Shanaya Rao,Manipal Univ.,23,others,Rarely (A few times a semester at most),Grammarly,No
Aditya Verma,IIsc,25,commerce,Rarely (A few times a semester at most),Bing AI,Yes
Pihu Singh,Univ. Of Delhi,22,arts,Sometimes (At least once a month),Elicit,No
Diya Das,IIsc,21,others,Never,Others,Yes
Ira Sharma,Anna Univ.,23,arts,Sometimes (At least once a month),Elicit,No
Diya Sharma,Anna Univ.,19,science,Never,ChatGPT,No
Diya Rao,Univ. Of Delhi,19,science,Never,ChatGPT,No
Ira Joshi,Univ. Of Delhi,22,arts,Sometimes (At least once a month),Grammarly,Yes
Aarohi Kumar,Jadavpur Univ.,21,science,Sometimes (At least once a month),Grammarly,Yes
Vihaan Das,Anna Univ.,19,science,Rarely (A few times a semester at most),Others,Yes
Anika Patel,IIsc,21,science,Often (At least once a week),Others,No
Lakshmi Bose,Univ. Of Delhi,25,others,Often (At least once a week),Others,No
Vihaan Kapoor,IIsc,22,arts,Rarely (A few times a semester at most),ChatGPT,No
Arjun Mehta,Anna Univ.,24,science,Never,Grammarly,No
Pihu Mehta,Anna Univ.,25,science,Rarely (A few times a semester at most),Others,Yes
Ira Rao,Univ. Of Delhi,19,science,Never,Bing AI,No
Shanaya Kapoor,Univ. Of Delhi,23,commerce,Sometimes (At least once a month),Grammarly,No
Anika Bose,Jadavpur Univ.,19,others,Often (At least once a week),Elicit,Yes
Aarohi Joshi,Anna Univ.,20,others,Sometimes (At least once a month),Research Rabbit,Yes
Anika Iyer,VIT(Vellore),22,arts,Rarely (A few times a semester at most),Others,No
Reyansh Naidu,Manipal Univ.,23,commerce,Never,Elicit,No
Anika Verma,IIsc,24,science,Often (At least once a week),Midjourney,Yes
Ayaan Pandey,Univ. Of Delhi,20,science,Never,Grammarly,No
Reyansh Mehta,IIsc,20,others,Sometimes (At least once a month),ChatGPT,No
Lakshmi Das,Anna Univ.,25,commerce,Sometimes (At least once a month),Research Rabbit,No
Sai Gupta,Anna Univ.,24,commerce,Rarely (A few times a semester at most),ChatGPT,No
Pihu Sharma,Univ. Of Delhi,23,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Vivaan Kumar,Univ. Of Delhi,21,others,Rarely (A few times a semester at most),Others,No
Sai Das,Jadavpur Univ.,24,commerce,Sometimes (At least once a month),Research Rabbit,Yes
Vihaan Reddy,Anna Univ.,18,arts,Rarely (A few times a semester at most),Others,Yes
Shanaya Rao,IIsc,23,others,Never,Midjourney,No
Pihu Singh,Univ. Of Delhi,22,arts,Often (At least once a week),Bing AI,No
Saanvi Singh,IIsc,22,science,Never,Research Rabbit,No
Vihaan Pandey,Anna Univ.,25,science,Sometimes (At least once a month),Elicit,Yes
Ira Joshi,Anna Univ.,24,arts,Sometimes (At least once a month),Research Rabbit,No
Arjun Singh,Univ. Of Delhi,25,science,Sometimes (At least once a month),ChatGPT,No
Ishaan Mishra,Univ. Of Delhi,19,science,Rarely (A few times a semester at most),Grammarly,No
Aarav Reddy,Jadavpur Univ.,24,science,Sometimes (At least once a month),Bing AI,Yes
Ira Patel,Anna Univ.,18,others,Often (At least once a week),Bing AI,Yes
Sai Desai,VIT(Vellore),25,arts,Rarely (A few times a semester at most),ChatGPT,No
Saanvi Chopra,Manipal Univ.,19,science,Never,ChatGPT,No
Arjun Reddy,IIsc,20,science,Often (At least once a week),ChatGPT,Yes
Ananya Rao,Univ. Of Delhi,25,science,Never,Midjourney,No
Lakshmi Patel,IIsc,24,commerce,Sometimes (At least once a month),Research Rabbit,Yes
Ananya Mishra,Anna Univ.,25,others,Rarely (A few times a semester at most),Elicit,No
Shanaya Das,Anna Univ.,21,others,Often (At least once a week),DALL-E,Yes
Sai Kumar,Univ. Of Delhi,24,arts,Sometimes (At least once a month),Research Rabbit,Yes
Aarav Reddy,Univ. Of Delhi,22,arts,Rarely (A few times a semester at most),Grammarly,No
Aditya Bose,Jadavpur Univ.,23,others,Often (At least once a week),Elicit,Yes
Shanaya Desai,Anna Univ.,21,commerce,Often (At least once a week),DALL-E,Yes
Pihu Mehta,IIsc,18,arts,Never,Elicit,Yes
Shanaya Verma,Univ. Of Delhi,21,others,Never,ChatGPT,No
Ishaan Kapoor,IIsc,25,arts,Sometimes (At least once a month),Others,No
Ishaan Rao,Anna Univ.,19,science,Often (At least once a week),ChatGPT,Yes
Reyansh Singh,Anna Univ.,19,science,Rarely (A few times a semester at most),DALL-E,No
Diya Iyer,Univ. Of Delhi,24,arts,Never,Bing AI,Yes
Diya Verma,Univ. Of Delhi,18,science,Often (At least once a week),DALL-E,No
Lakshmi Reddy,Jadavpur Univ.,18,science,Never,Bing AI,Yes
Reyansh Iyer,Anna Univ.,20,science,Often (At least once a week),Bing AI,Yes
Ananya Naidu,VIT(Vellore),18,others,Rarely (A few times a semester at most),Research Rabbit,No
Saanvi Chopra,Manipal Univ.,22,arts,Never,Others,Yes
Aditya Das,IIsc,20,science,Never,Others,Yes
Aarav Joshi,Univ. Of Delhi,20,science,Often (At least once a week),Others,No
Ishaan Pandey,IIsc,25,science,Often (At least once a week),Bing AI,No
Aditya Mehta,Anna Univ.,25,commerce,Rarely (A few times a semester at most),Others,Yes
Aadhya Chopra,Anna Univ.,20,others,Rarely (A few times a semester at most),Midjourney,No
Reyansh Joshi,Univ. Of Delhi,19,others,Never,Others,Yes
Aarohi Joshi,Univ. Of Delhi,23,arts,Often (At least once a week),DALL-E,No
Ira Nair,Jadavpur Univ.,25,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Ira Joshi,Anna Univ.,18,science,Often (At least once a week),Elicit,No
Vivaan Rao,IIsc,19,science,Sometimes (At least once a month),Research Rabbit,Yes
Krishna Verma,Univ. Of Delhi,24,others,Sometimes (At least once a month),Research Rabbit,Yes
Shanaya Reddy,IIsc,21,commerce,Often (At least once a week),DALL-E,Yes
Anika Patel,Anna Univ.,24,commerce,Often (At least once a week),ChatGPT,No
Diya Desai,Anna Univ.,25,arts,Rarely (A few times a semester at most),Research Rabbit,No
Ananya Nair,Univ. Of Delhi,20,others,Sometimes (At least once a month),Elicit,No
Aarav Naidu,Univ. Of Delhi,18,commerce,Rarely (A few times a semester at most),Bing AI,Yes
Diya Iyer,Jadavpur Univ.,19,arts,Sometimes (At least once a month),Others,Yes
Anika Mishra,Anna Univ.,24,others,Rarely (A few times a semester at most),DALL-E,No
Pihu Iyer,VIT(Vellore),25,arts,Sometimes (At least once a month),Grammarly,No
Aditya Chopra,Manipal Univ.,23,science,Never,ChatGPT,Yes
Vihaan Joshi,IIsc,22,science,Rarely (A few times a semester at most),Elicit,Yes
Shanaya Pandey,Univ. Of Delhi,20,arts,Rarely (A few times a semester at most),Elicit,Yes
Krishna Kapoor,IIsc,20,science,Sometimes (At least once a month),Research Rabbit,Yes
Ananya Kapoor,Anna Univ.,22,science,Sometimes (At least once a month),Elicit,No
Vihaan Singh,Anna Univ.,20,science,Often (At least once a week),Grammarly,Yes
Aadhya Sharma,Univ. Of Delhi,23,others,Rarely (A few times a semester at most),Bing AI,Yes
Vivaan Kumar,Univ. Of Delhi,24,arts,Often (At least once a week),Research Rabbit,No
Aarav Kapoor,Jadavpur Univ.,19,science,Often (At least once a week),Grammarly,No
Shanaya Kapoor,Anna Univ.,25,science,Often (At least once a week),ChatGPT,No
Lakshmi Iyer,Univ. Of Delhi,25,science,Often (At least once a week),Research Rabbit,No
Ishaan Naidu,Univ. Of Delhi,24,commerce,Sometimes (At least once a month),ChatGPT,Yes
Ira Joshi,Jadavpur Univ.,21,others,Never,Elicit,Yes
Anika Joshi,Anna Univ.,25,others,Often (At least once a week),Elicit,No
Aarav Pandey,IIsc,22,arts,Never,Midjourney,No
Arjun Naidu,Univ. Of Delhi,18,commerce,Rarely (A few times a semester at most),Midjourney,No
Pihu Joshi,IIsc,24,science,Often (At least once a week),Others,Yes
Reyansh Singh,Anna Univ.,22,science,Never,DALL-E,No
Aadhya Verma,Anna Univ.,18,others,Never,Others,No
Vihaan Chopra,Univ. Of Delhi,18,commerce,Often (At least once a week),Elicit,Yes
Aarav Pandey,Univ. Of Delhi,18,commerce,Rarely (A few times a semester at most),Grammarly,Yes
Pihu Joshi,Jadavpur Univ.,24,arts,Sometimes (At least once a month),Grammarly,Yes
Ayaan Sharma,Anna Univ.,20,others,Sometimes (At least once a month),Midjourney,Yes
Anika Reddy,VIT(Vellore),24,commerce,Never,Research Rabbit,No
Shanaya Gupta,Manipal Univ.,19,arts,Sometimes (At least once a month),Bing AI,Yes
Arjun Nair,IIsc,24,others,Rarely (A few times a semester at most),Midjourney,No
Aarav Mishra,Univ. Of Delhi,23,others,Rarely (A few times a semester at most),Grammarly,No
Ananya Naidu,IIsc,19,commerce,Never,Bing AI,Yes
Anika Mishra,Anna Univ.,25,arts,Never,Bing AI,No
Diya Joshi,Anna Univ.,22,others,Often (At least once a week),Grammarly,Yes
Ayaan Das,Univ. Of Delhi,18,arts,Often (At least once a week),Bing AI,Yes
Shanaya Kumar,Univ. Of Delhi,19,science,Sometimes (At least once a month),Bing AI,No
Saanvi Verma,Jadavpur Univ.,19,science,Sometimes (At least once a month),Research Rabbit,Yes
Lakshmi Desai,Anna Univ.,22,arts,Sometimes (At least once a month),Elicit,No
Krishna Singh,Univ. Of Delhi,24,science,Sometimes (At least once a month),Bing AI,No
Ishaan Bose,Univ. Of Delhi,25,science,Sometimes (At least once a month),DALL-E,No
Anika Mishra,Jadavpur Univ.,20,science,Rarely (A few times a semester at most),Elicit,No
Arjun Iyer,Anna Univ.,22,others,Never,DALL-E,No
Aditya Singh,IIsc,19,arts,Rarely (A few times a semester at most),Midjourney,No
Sai Verma,Univ. Of Delhi,25,science,Often (At least once a week),Bing AI,Yes
Pihu Singh,IIsc,22,science,Often (At least once a week),Elicit,No
Aditya Iyer,Anna Univ.,24,science,Never,Elicit,No
Aarohi Reddy,Anna Univ.,22,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Shanaya Das,Univ. Of Delhi,24,others,Sometimes (At least once a month),ChatGPT,Yes
Saanvi Gupta,Univ. Of Delhi,21,others,Never,DALL-E,Yes
Ira Reddy,Jadavpur Univ.,22,arts,Often (At least once a week),Bing AI,Yes
Arjun Naidu,Anna Univ.,23,commerce,Never,DALL-E,Yes
Aadhya Singh,VIT(Vellore),20,science,Often (At least once a week),DALL-E,No
Shanaya Kumar,Manipal Univ.,23,science,Often (At least once a week),Elicit,No
Vihaan Singh,IIsc,21,others,Often (At least once a week),DALL-E,Yes
Aarohi Verma,Univ. Of Delhi,21,commerce,Often (At least once a week),Bing AI,No
Diya Desai,IIsc,25,commerce,Never,DALL-E,Yes
Arjun Nair,Anna Univ.,22,arts,Rarely (A few times a semester at most),Elicit,Yes
Krishna Rao,Anna Univ.,22,others,Sometimes (At least once a month),Midjourney,Yes
Anika Kapoor,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),Midjourney,Yes
Ishaan Singh,Univ. Of Delhi,22,arts,Never,DALL-E,Yes
Ayaan Kumar,Jadavpur Univ.,18,others,Sometimes (At least once a month),DALL-E,Yes
Vihaan Reddy,Anna Univ.,24,arts,Often (At least once a week),ChatGPT,Yes
Aarav Joshi,Univ. Of Delhi,20,science,Often (At least once a week),Grammarly,No
Aarohi Gupta,Univ. Of Delhi,23,science,Often (At least once a week),DALL-E,Yes
Diya Kapoor,Jadavpur Univ.,22,arts,Rarely (A few times a semester at most),Research Rabbit,Yes
Reyansh Naidu,Anna Univ.,20,science,Never,Research Rabbit,Yes
Ira Kapoor,IIsc,19,science,Often (At least once a week),Others,No
Aadhya Bose,Univ. Of Delhi,20,science,Sometimes (At least once a month),Grammarly,No
Diya Kapoor,IIsc,20,others,Sometimes (At least once a month),Bing AI,No
Aditya Nair,Anna Univ.,25,arts,Sometimes (At least once a month),Elicit,No
Krishna Patel,Anna Univ.,19,science,Rarely (A few times a semester at most),Others,No
Reyansh Nair,Univ. Of Delhi,18,science,Never,DALL-E,No
Ira Bose,Univ. Of Delhi,21,science,Often (At least once a week),ChatGPT,No
Arjun Kapoor,Jadavpur Univ.,23,commerce,Often (At least once a week),ChatGPT,No
Ira Patel,Anna Univ.,19,others,Rarely (A few times a semester at most),Others,Yes
Vihaan Reddy,VIT(Vellore),21,others,Often (At least once a week),Bing AI,No
Vihaan Chopra,Manipal Univ.,18,arts,Never,Bing AI,No
Diya Patel,IIsc,22,arts,Often (At least once a week),Others,Yes
Lakshmi Pandey,Univ. Of Delhi,21,others,Sometimes (At least once a month),Grammarly,Yes
Aarohi Das,IIsc,21,commerce,Never,Research Rabbit,No
Aditya Sharma,Anna Univ.,23,arts,Sometimes (At least once a month),Research Rabbit,Yes
Saanvi Singh,Anna Univ.,21,others,Sometimes (At least once a month),ChatGPT,Yes
Lakshmi Singh,Univ. Of Delhi,22,arts,Often (At least once a week),Grammarly,Yes
Ishaan Nair,Univ. Of Delhi,21,science,Often (At least once a week),Bing AI,No
Ira Patel,Jadavpur Univ.,24,science,Often (At least once a week),Research Rabbit,No
Lakshmi Mehta,Anna Univ.,18,arts,Rarely (A few times a semester at most),Bing AI,Yes
Arjun Nair,Univ. Of Delhi,19,science,Sometimes (At least once a month),ChatGPT,No
Arjun Joshi,Univ. Of Delhi,24,science,Often (At least once a week),Grammarly,No
Reyansh Patel,Jadavpur Univ.,18,science,Often (At least once a week),Elicit,Yes
Aarav Desai,Anna Univ.,18,others,Rarely (A few times a semester at most),Grammarly,Yes
Saanvi Rao,IIsc,24,arts,Sometimes (At least once a month),Midjourney,No
Ananya Pandey,Univ. Of Delhi,18,science,Often (At least once a week),Others,No
Vihaan Naidu,IIsc,23,science,Rarely (A few times a semester at most),Grammarly,No
Aditya Naidu,Anna Univ.,19,science,Often (At least once a week),Bing AI,No
Reyansh Naidu,Anna Univ.,22,commerce,Never,Grammarly,No
Shanaya Kumar,Univ. Of Delhi,25,others,Never,ChatGPT,Yes
Vivaan Singh,Univ. Of Delhi,20,others,Often (At least once a week),Midjourney,No
Aarohi Sharma,Jadavpur Univ.,19,arts,Sometimes (At least once a month),Midjourney,No
Arjun Rao,Anna Univ.,19,commerce,Often (At least once a week),Grammarly,Yes
Aditya Singh,VIT(Vellore),19,science,Rarely (A few times a semester at most),Research Rabbit,No
Reyansh Kumar,Manipal Univ.,18,science,Rarely (A few times a semester at most),Elicit,No
Ishaan Mehta,IIsc,24,others,Sometimes (At least once a month),ChatGPT,Yes
Sai Naidu,Univ. Of Delhi,25,commerce,Never,Research Rabbit,No
Arjun Mishra,IIsc,23,commerce,Often (At least once a week),Grammarly,No
Aarav Desai,Anna Univ.,24,arts,Often (At least once a week),Others,No
Ayaan Joshi,Anna Univ.,22,others,Rarely (A few times a semester at most),Elicit,No
Krishna Das,Univ. Of Delhi,22,commerce,Often (At least once a week),DALL-E,Yes
Krishna Pandey,Univ. Of Delhi,19,arts,Often (At least once a week),ChatGPT,No
Aarav Pandey,Jadavpur Univ.,20,others,Never,Midjourney,Yes
Krishna Patel,Anna Univ.,18,arts,Never,Bing AI,No
Ananya Reddy,Univ. Of Delhi,18,science,Sometimes (At least once a month),Research Rabbit,Yes
Sai Nair,Univ. Of Delhi,18,science,Often (At least once a week),ChatGPT,No
Aarohi Iyer,Jadavpur Univ.,20,arts,Sometimes (At least once a month),Grammarly,No
Ayaan Rao,Anna Univ.,25,science,Sometimes (At least once a month),Elicit,Yes
Krishna Kapoor,IIsc,19,science,Rarely (A few times a semester at most),Midjourney,No
Saanvi Bose,Univ. Of Delhi,25,science,Rarely (A few times a semester at most),Elicit,Yes
Diya Patel,IIsc,23,others,Sometimes (At least once a month),ChatGPT,Yes
Sai Pandey,Anna Univ.,23,arts,Never,ChatGPT,Yes
Aadhya Joshi,Anna Univ.,21,science,Often (At least once a week),Others,No
Aarav Rao,Univ. Of Delhi,21,science,Sometimes (At least once a month),DALL-E,Yes
Lakshmi Kapoor,Univ. Of Delhi,23,science,Often (At least once a week),Midjourney,Yes
Ishaan Kumar,Jadavpur Univ.,20,commerce,Never,ChatGPT,Yes
Pihu Singh,Anna Univ.,23,others,Sometimes (At least once a month),Grammarly,No
Ishaan Nair,VIT(Vellore),22,others,Never,Grammarly,Yes
Lakshmi Mishra,Manipal Univ.,21,arts,Rarely (A few times a semester at most),Bing AI,Yes
Ayaan Mishra,IIsc,21,commerce,Often (At least once a week),Elicit,No
Aadhya Naidu,Univ. Of Delhi,18,science,Often (At least once a week),Others,No
Reyansh Das,IIsc,23,science,Often (At least once a week),Others,No
Ira Pandey,Anna Univ.,20,others,Often (At least once a week),Research Rabbit,Yes
Aarohi Nair,Anna Univ.,22,commerce,Never,DALL-E,No
Reyansh Naidu,Univ. Of Delhi,24,commerce,Often (At least once a week),Grammarly,Yes
Anika Sharma,Univ. Of Delhi,25,arts,Often (At least once a week),DALL-E,Yes
Ishaan Patel,Jadavpur Univ.,18,others,Often (At least once a week),Research Rabbit,Yes
